username,rating,date,review,clean,Token,Stopwords,Stemming,Label
risnanda ari,5,9/8/2023 19:14,"Spotify, dengan aplikasi ini kalian bisa dengerin lagu yang kalian suka, baik dari dalam negri maupun luar negri, aplikasi yang cocok buat para kalian yang suka mendengar music, banyak fitur yang bisa kita gunakan loh, very good pokoknya.",spotify dengan aplikasi ini kalian bisa dengerin lagu yang kalian suka baik dari dalam negri maupun luar negri aplikasi yang cocok buat para kalian yang suka mendengar music banyak fitur yang bisa kita gunakan loh very good pokoknya,"['spotify', 'dengan', 'aplikasi', 'ini', 'kalian', 'bisa', 'dengerin', 'lagu', 'yang', 'kalian', 'suka', 'baik', 'dari', 'dalam', 'negri', 'maupun', 'luar', 'negri', 'aplikasi', 'yang', 'cocok', 'buat', 'para', 'kalian', 'yang', 'suka', 'mendengar', 'music', 'banyak', 'fitur', 'yang', 'bisa', 'kita', 'gunakan', 'loh', 'very', 'good', 'pokoknya']","['spotify', 'aplikasi', 'dengerin', 'lagu', 'suka', 'negri', 'negri', 'aplikasi', 'cocok', 'suka', 'mendengar', 'music', 'fitur', 'loh', 'very', 'good', 'pokoknya']","['spotify', 'aplikasi', 'dengerin', 'lagu', 'suka', 'negri', 'negri', 'aplikasi', 'cocok', 'suka', 'dengar', 'music', 'fitur', 'loh', 'very', 'good', 'pokok']",Positive
Desta Rahayu Supriatna,4,9/6/2023 21:50,Kenapa setiap mau melakukan pembayaran premium dsetiap paket apapun ketika mau klik pembayaran selalu balik lagi ke apps menu awal atau tidak dapat menghubung terus ya tolong diperbaiki agar mudah melakukan pembayaran premium nya ya,kenapa setiap mau melakukan pembayaran premium dsetiap paket apapun ketika mau klik pembayaran selalu balik lagi ke apps menu awal atau tidak dapat menghubung terus ya tolong diperbaiki agar mudah melakukan pembayaran premium nya ya,"['kenapa', 'setiap', 'mau', 'melakukan', 'pembayaran', 'premium', 'dsetiap', 'paket', 'apapun', 'ketika', 'mau', 'klik', 'pembayaran', 'selalu', 'balik', 'lagi', 'ke', 'apps', 'menu', 'awal', 'atau', 'tidak', 'dapat', 'menghubung', 'terus', 'ya', 'tolong', 'diperbaiki', 'agar', 'mudah', 'melakukan', 'pembayaran', 'premium', 'nya', 'ya']","['pembayaran', 'premium', 'dsetiap', 'paket', 'apapun', 'klik', 'pembayaran', 'apps', 'menu', 'menghubung', 'tolong', 'diperbaiki', 'mudah', 'pembayaran', 'premium']","['bayar', 'premium', 'dsetiap', 'paket', 'apa', 'klik', 'bayar', 'apps', 'menu', 'hubung', 'tolong', 'baik', 'mudah', 'bayar', 'premium']",Positive
m.zainal ilmi456,2,9/6/2023 18:49,"Apk nya bagus.tapi jujur ya saya kurang suka sama fitur premium ini.kalo mau putar lagu pasti ada fitur ini dan gak bisa putar lagu lagi.kaya mau putar lagu yg kita suka kan dan tiba tiba ada iklan premium dan disitu ada dua pilihan ""jelajahi premium"" Sama ""tutup"" Dan kalo pilih""tutup"" Gak mau ke putar lagu nya.ini yg saya gak suka sihh sama fitur ini. Kayak maksa banget buat premium. Jadi saya kurangi bintang nya",apk nya bagustapi jujur ya saya kurang suka sama fitur premium inikalo mau putar lagu pasti ada fitur ini dan gak bisa putar lagu lagikaya mau putar lagu yg kita suka kan dan tiba tiba ada iklan premium dan disitu ada dua pilihan jelajahi premium sama tutup dan kalo pilihtutup gak mau ke putar lagu nyaini yg saya gak suka sihh sama fitur ini kayak maksa banget buat premium jadi saya kurangi bintang nya,"['apk', 'nya', 'bagustapi', 'jujur', 'ya', 'saya', 'kurang', 'suka', 'sama', 'fitur', 'premium', 'inikalo', 'mau', 'putar', 'lagu', 'pasti', 'ada', 'fitur', 'ini', 'dan', 'gak', 'bisa', 'putar', 'lagu', 'lagikaya', 'mau', 'putar', 'lagu', 'yg', 'kita', 'suka', 'kan', 'dan', 'tiba', 'tiba', 'ada', 'iklan', 'premium', 'dan', 'disitu', 'ada', 'dua', 'pilihan', 'jelajahi', 'premium', 'sama', 'tutup', 'dan', 'kalo', 'pilihtutup', 'gak', 'mau', 'ke', 'putar', 'lagu', 'nyaini', 'yg', 'saya', 'gak', 'suka', 'sihh', 'sama', 'fitur', 'ini', 'kayak', 'maksa', 'banget', 'buat', 'premium', 'jadi', 'saya', 'kurangi', 'bintang', 'nya']","['apk', 'bagustapi', 'jujur', 'suka', 'fitur', 'premium', 'inikalo', 'putar', 'lagu', 'fitur', 'gak', 'putar', 'lagu', 'lagikaya', 'putar', 'lagu', 'suka', 'iklan', 'premium', 'disitu', 'pilihan', 'jelajahi', 'premium', 'tutup', 'kalo', 'pilihtutup', 'gak', 'putar', 'lagu', 'nyaini', 'gak', 'suka', 'sihh', 'fitur', 'kayak', 'maksa', 'banget', 'premium', 'kurangi', 'bintang']","['apk', 'bagustapi', 'jujur', 'suka', 'fitur', 'premium', 'inikalo', 'putar', 'lagu', 'fitur', 'gak', 'putar', 'lagu', 'lagikaya', 'putar', 'lagu', 'suka', 'iklan', 'premium', 'situ', 'pilih', 'jelajah', 'premium', 'tutup', 'kalo', 'pilihtutup', 'gak', 'putar', 'lagu', 'nyaini', 'gak', 'suka', 'sihh', 'fitur', 'kayak', 'maksa', 'banget', 'premium', 'kurang', 'bintang']",Negative
AsYFanno,4,9/5/2023 19:33,"Sekarang apa-apa premium, apa-apa premium. Uang gw juga buat nabung untuk keperluan lainnya, gw mo dengerin lagu ini malah keacak dengan lagu asing, kayak why?. Padahal dulu setiap jam bisa dengerin lagu yg mau di dengerin dan gak keacak, tapi malah harus diputar besok lagi? Gw cari tutorial sana-sini tapi ga bisa. Tingkatkan lagi spotify.",sekarang apaapa premium apaapa premium uang gw juga buat nabung untuk keperluan lainnya gw mo dengerin lagu ini malah keacak dengan lagu asing kayak why padahal dulu setiap jam bisa dengerin lagu yg mau di dengerin dan gak keacak tapi malah harus diputar besok lagi gw cari tutorial sanasini tapi ga bisa tingkatkan lagi spotify,"['sekarang', 'apaapa', 'premium', 'apaapa', 'premium', 'uang', 'gw', 'juga', 'buat', 'nabung', 'untuk', 'keperluan', 'lainnya', 'gw', 'mo', 'dengerin', 'lagu', 'ini', 'malah', 'keacak', 'dengan', 'lagu', 'asing', 'kayak', 'why', 'padahal', 'dulu', 'setiap', 'jam', 'bisa', 'dengerin', 'lagu', 'yg', 'mau', 'di', 'dengerin', 'dan', 'gak', 'keacak', 'tapi', 'malah', 'harus', 'diputar', 'besok', 'lagi', 'gw', 'cari', 'tutorial', 'sanasini', 'tapi', 'ga', 'bisa', 'tingkatkan', 'lagi', 'spotify']","['apaapa', 'premium', 'apaapa', 'premium', 'uang', 'nabung', 'keperluan', 'mo', 'dengerin', 'lagu', 'keacak', 'lagu', 'asing', 'kayak', 'why', 'jam', 'dengerin', 'lagu', 'dengerin', 'gak', 'keacak', 'diputar', 'besok', 'cari', 'tutorial', 'sanasini', 'ga', 'tingkatkan', 'spotify']","['apaapa', 'premium', 'apaapa', 'premium', 'uang', 'nabung', 'perlu', 'mo', 'dengerin', 'lagu', 'acak', 'lagu', 'asing', 'kayak', 'why', 'jam', 'dengerin', 'lagu', 'dengerin', 'gak', 'acak', 'putar', 'besok', 'cari', 'tutorial', 'sanasini', 'ga', 'tingkat', 'spotify']",Positive
Elnovani Carolina,1,9/4/2023 13:22,"Ini gimana ya ko mau bayar berlangganan premium susah banget, sinyal padahal bagus. Transaksi pakai playstore bisa tapi pakai yang 1 lagi gangguan terus kenapa ya. Kalo ga mau orang lain berlangganan premium jangan adain berlangganan dong dibuat gratis aja dan gausah ada iklan, tiap mau berlangganan selalu gangguan terus. Selalu aja dibuat supaya ga bisa premium",ini gimana ya ko mau bayar berlangganan premium susah banget sinyal padahal bagus transaksi pakai playstore bisa tapi pakai yang   lagi gangguan terus kenapa ya kalo ga mau orang lain berlangganan premium jangan adain berlangganan dong dibuat gratis aja dan gausah ada iklan tiap mau berlangganan selalu gangguan terus selalu aja dibuat supaya ga bisa premium,"['ini', 'gimana', 'ya', 'ko', 'mau', 'bayar', 'berlangganan', 'premium', 'susah', 'banget', 'sinyal', 'padahal', 'bagus', 'transaksi', 'pakai', 'playstore', 'bisa', 'tapi', 'pakai', 'yang', 'lagi', 'gangguan', 'terus', 'kenapa', 'ya', 'kalo', 'ga', 'mau', 'orang', 'lain', 'berlangganan', 'premium', 'jangan', 'adain', 'berlangganan', 'dong', 'dibuat', 'gratis', 'aja', 'dan', 'gausah', 'ada', 'iklan', 'tiap', 'mau', 'berlangganan', 'selalu', 'gangguan', 'terus', 'selalu', 'aja', 'dibuat', 'supaya', 'ga', 'bisa', 'premium']","['gimana', 'bayar', 'berlangganan', 'premium', 'susah', 'banget', 'sinyal', 'bagus', 'transaksi', 'pakai', 'playstore', 'pakai', 'gangguan', 'kalo', 'ga', 'orang', 'berlangganan', 'premium', 'adain', 'berlangganan', 'gratis', 'aja', 'gausah', 'iklan', 'berlangganan', 'gangguan', 'aja', 'ga', 'premium']","['gimana', 'bayar', 'langgan', 'premium', 'susah', 'banget', 'sinyal', 'bagus', 'transaksi', 'pakai', 'playstore', 'pakai', 'ganggu', 'kalo', 'ga', 'orang', 'langgan', 'premium', 'adain', 'langgan', 'gratis', 'aja', 'gausah', 'iklan', 'langgan', 'ganggu', 'aja', 'ga', 'premium']",Negative
daisy pierta,2,9/30/2023 21:31,"""tidak dapat memuat lirik untuk lagu ini"" Bukan hanya untuk satu lagu saja, tapi untuk semua lagu. Bahkan saya sudah logout dan login akun 2 kali, tapi tetap saja liriknya tidak dapat dimuat. Saya harap segera diperbaiki ya Spotify",tidak dapat memuat lirik untuk lagu ini bukan hanya untuk satu lagu saja tapi untuk semua lagu bahkan saya sudah logout dan login akun   kali tapi tetap saja liriknya tidak dapat dimuat saya harap segera diperbaiki ya spotify,"['tidak', 'dapat', 'memuat', 'lirik', 'untuk', 'lagu', 'ini', 'bukan', 'hanya', 'untuk', 'satu', 'lagu', 'saja', 'tapi', 'untuk', 'semua', 'lagu', 'bahkan', 'saya', 'sudah', 'logout', 'dan', 'login', 'akun', 'kali', 'tapi', 'tetap', 'saja', 'liriknya', 'tidak', 'dapat', 'dimuat', 'saya', 'harap', 'segera', 'diperbaiki', 'ya', 'spotify']","['memuat', 'lirik', 'lagu', 'lagu', 'lagu', 'logout', 'login', 'akun', 'kali', 'liriknya', 'dimuat', 'harap', 'diperbaiki', 'spotify']","['muat', 'lirik', 'lagu', 'lagu', 'lagu', 'logout', 'login', 'akun', 'kali', 'lirik', 'muat', 'harap', 'baik', 'spotify']",Negative
Nicholas gabriel,4,9/30/2023 12:14,"Spotify bagus banget buat denger lagu, lengkap ada semua lagunya, tapi yang kurang cuman iklannya terlalu banyak muncul, terus lirik nya juga error terus ga bisa dibuka, semoga kedepannya di perbagus lagi spotify",spotify bagus banget buat denger lagu lengkap ada semua lagunya tapi yang kurang cuman iklannya terlalu banyak muncul terus lirik nya juga error terus ga bisa dibuka semoga kedepannya di perbagus lagi spotify,"['spotify', 'bagus', 'banget', 'buat', 'denger', 'lagu', 'lengkap', 'ada', 'semua', 'lagunya', 'tapi', 'yang', 'kurang', 'cuman', 'iklannya', 'terlalu', 'banyak', 'muncul', 'terus', 'lirik', 'nya', 'juga', 'error', 'terus', 'ga', 'bisa', 'dibuka', 'semoga', 'kedepannya', 'di', 'perbagus', 'lagi', 'spotify']","['spotify', 'bagus', 'banget', 'denger', 'lagu', 'lengkap', 'lagunya', 'cuman', 'iklannya', 'muncul', 'lirik', 'error', 'ga', 'dibuka', 'semoga', 'kedepannya', 'perbagus', 'spotify']","['spotify', 'bagus', 'banget', 'denger', 'lagu', 'lengkap', 'lagu', 'cuman', 'iklan', 'muncul', 'lirik', 'error', 'ga', 'buka', 'moga', 'depan', 'bagus', 'spotify']",Positive
Indri Atua,1,9/30/2023 10:52,"Kenapa pas saya mau langganan malah muncul ""tidak dapat menghubung"" terus menerus. Itu sangat mengganggu, bahkan belum sempat saya tekan cara pembayaran malah muncul itu terus menerus. Sebenarnya kalian mau saya langganan atau tidak",kenapa pas saya mau langganan malah muncul tidak dapat menghubung terus menerus itu sangat mengganggu bahkan belum sempat saya tekan cara pembayaran malah muncul itu terus menerus sebenarnya kalian mau saya langganan atau tidak,"['kenapa', 'pas', 'saya', 'mau', 'langganan', 'malah', 'muncul', 'tidak', 'dapat', 'menghubung', 'terus', 'menerus', 'itu', 'sangat', 'mengganggu', 'bahkan', 'belum', 'sempat', 'saya', 'tekan', 'cara', 'pembayaran', 'malah', 'muncul', 'itu', 'terus', 'menerus', 'sebenarnya', 'kalian', 'mau', 'saya', 'langganan', 'atau', 'tidak']","['pas', 'langganan', 'muncul', 'menghubung', 'menerus', 'mengganggu', 'tekan', 'pembayaran', 'muncul', 'menerus', 'langganan']","['pas', 'langgan', 'muncul', 'hubung', 'terus', 'ganggu', 'tekan', 'bayar', 'muncul', 'terus', 'langgan']",Negative
Haura Nazifa,5,9/3/2023 22:10,"Speaker nya baguss,kalo pake headphone nya berasa enak banget buat di denger! Aku juga belum premium walaupun belum premium aku kira itu fine aja si kalo buat sekarang,Dan iklan nya belum muncul di aku tapi waktu pertama kali aku download Spotify di hp lama ku itu iklan nya banyak banget , tapi kalo sekarang belum muncul di iklan nyaa, sebenernya speaker tergantung hp nya gak sih? Tapi kalo speaker nya bukan tergantung handphone nya berarti emang Spotify itu bagus bangett! Pokok nya suka banget!",speaker nya bagusskalo pake headphone nya berasa enak banget buat di denger aku juga belum premium walaupun belum premium aku kira itu fine aja si kalo buat sekarangdan iklan nya belum muncul di aku tapi waktu pertama kali aku download spotify di hp lama ku itu iklan nya banyak banget  tapi kalo sekarang belum muncul di iklan nyaa sebenernya speaker tergantung hp nya gak sih tapi kalo speaker nya bukan tergantung handphone nya berarti emang spotify itu bagus bangett pokok nya suka banget,"['speaker', 'nya', 'bagusskalo', 'pake', 'headphone', 'nya', 'berasa', 'enak', 'banget', 'buat', 'di', 'denger', 'aku', 'juga', 'belum', 'premium', 'walaupun', 'belum', 'premium', 'aku', 'kira', 'itu', 'fine', 'aja', 'si', 'kalo', 'buat', 'sekarangdan', 'iklan', 'nya', 'belum', 'muncul', 'di', 'aku', 'tapi', 'waktu', 'pertama', 'kali', 'aku', 'download', 'spotify', 'di', 'hp', 'lama', 'ku', 'itu', 'iklan', 'nya', 'banyak', 'banget', 'tapi', 'kalo', 'sekarang', 'belum', 'muncul', 'di', 'iklan', 'nyaa', 'sebenernya', 'speaker', 'tergantung', 'hp', 'nya', 'gak', 'sih', 'tapi', 'kalo', 'speaker', 'nya', 'bukan', 'tergantung', 'handphone', 'nya', 'berarti', 'emang', 'spotify', 'itu', 'bagus', 'bangett', 'pokok', 'nya', 'suka', 'banget']","['speaker', 'bagusskalo', 'pake', 'headphone', 'enak', 'banget', 'denger', 'premium', 'premium', 'fine', 'aja', 'si', 'kalo', 'sekarangdan', 'iklan', 'muncul', 'kali', 'download', 'spotify', 'hp', 'iklan', 'banget', 'kalo', 'muncul', 'iklan', 'nyaa', 'sebenernya', 'speaker', 'tergantung', 'hp', 'gak', 'kalo', 'speaker', 'tergantung', 'handphone', 'emang', 'spotify', 'bagus', 'bangett', 'pokok', 'suka', 'banget']","['speaker', 'bagusskalo', 'pake', 'headphone', 'enak', 'banget', 'denger', 'premium', 'premium', 'fine', 'aja', 'si', 'kalo', 'sekarangdan', 'iklan', 'muncul', 'kali', 'download', 'spotify', 'hp', 'iklan', 'banget', 'kalo', 'muncul', 'iklan', 'nyaa', 'sebenernya', 'speaker', 'gantung', 'hp', 'gak', 'kalo', 'speaker', 'gantung', 'handphone', 'emang', 'spotify', 'bagus', 'bangett', 'pokok', 'suka', 'banget']",Positive
War Exe,1,9/3/2023 19:24,Fitur untuk mengulang lagu otomatis kek dulu mana? Ah jadi males lagunya keganti otomatis. Lagi enak dengerin lagu tiba tiba muncul lagu asing gk enak banget klo lo mau pengguna apk ini nyaman jangan apa apa harus premium. Jadi males pake apk ini lagi.iklan juga banyak banget,fitur untuk mengulang lagu otomatis kek dulu mana ah jadi males lagunya keganti otomatis lagi enak dengerin lagu tiba tiba muncul lagu asing gk enak banget klo lo mau pengguna apk ini nyaman jangan apa apa harus premium jadi males pake apk ini lagiiklan juga banyak banget,"['fitur', 'untuk', 'mengulang', 'lagu', 'otomatis', 'kek', 'dulu', 'mana', 'ah', 'jadi', 'males', 'lagunya', 'keganti', 'otomatis', 'lagi', 'enak', 'dengerin', 'lagu', 'tiba', 'tiba', 'muncul', 'lagu', 'asing', 'gk', 'enak', 'banget', 'klo', 'lo', 'mau', 'pengguna', 'apk', 'ini', 'nyaman', 'jangan', 'apa', 'apa', 'harus', 'premium', 'jadi', 'males', 'pake', 'apk', 'ini', 'lagiiklan', 'juga', 'banyak', 'banget']","['fitur', 'mengulang', 'lagu', 'otomatis', 'kek', 'ah', 'males', 'lagunya', 'keganti', 'otomatis', 'enak', 'dengerin', 'lagu', 'muncul', 'lagu', 'asing', 'gk', 'enak', 'banget', 'klo', 'pengguna', 'apk', 'nyaman', 'premium', 'males', 'pake', 'apk', 'lagiiklan', 'banget']","['fitur', 'ulang', 'lagu', 'otomatis', 'kek', 'ah', 'males', 'lagu', 'ganti', 'otomatis', 'enak', 'dengerin', 'lagu', 'muncul', 'lagu', 'asing', 'gk', 'enak', 'banget', 'klo', 'guna', 'apk', 'nyaman', 'premium', 'males', 'pake', 'apk', 'lagiiklan', 'banget']",Negative
